product_group,product_name,color,local_product_id,line_product_id,line_product_url,product_status,sync_status,is_display,storefront_status,last_known_line_updated_at,main_image_url,detail_image_url,angle_image_url,lifestyle_image_url,size_chart_url,source_note
jeans-winter-flare-dark-2551,กางเกงยีนส์ขาม้าบุขนกันหนาว,ยีนส์เข้ม,4,1008103282,https://oaplus.line.biz/channels/5000725667/e-commerce/product/1008103282,approved,success,false,hidden,2026-05-29 13:16,https://gomall.fashion/wp-content/uploads/2026/05/01-hero-square.png,https://gomall.fashion/wp-content/uploads/2026/05/02-detail-closeup.png,https://gomall.fashion/wp-content/uploads/2026/05/03-back-view.png,https://gomall.fashion/wp-content/uploads/2026/05/04-lifestyle-model-waist-down.png,https://gomall.fashion/wp-content/uploads/2026/05/size-guide-jeans-hip40-length37.png,Recovered from previous LINE MyShop sync and local database
jeans-winter-flare-dark-2555,กางเกงยีนส์ขาม้าบุขนกันหนาว,ยีนส์เข้ม,3,1008103281,https://oaplus.line.biz/channels/5000725667/e-commerce/product/1008103281,approved,success,false,hidden,2026-05-29 13:16,https://gomall.fashion/wp-content/uploads/2026/05/01-hero-square.png,https://gomall.fashion/wp-content/uploads/2026/05/02-detail-closeup.png,https://gomall.fashion/wp-content/uploads/2026/05/03-back-view.png,https://gomall.fashion/wp-content/uploads/2026/05/04-lifestyle-model-waist-down.png,https://gomall.fashion/wp-content/uploads/2026/05/size-guide-jeans-hip40-length37.png,Recovered from previous LINE MyShop sync and local database
jeans-winter-flare-light-2543,กางเกงยีนส์ขาม้าบุขนกันหนาว,ยีนส์อ่อน,2,1008103239,https://oaplus.line.biz/channels/5000725667/e-commerce/product/1008103239,approved,success,false,hidden,2026-05-29 12:57,https://gomall.fashion/wp-content/uploads/2026/05/01-hero-square-1.png,https://gomall.fashion/wp-content/uploads/2026/05/02-detail-closeup-1.png,https://gomall.fashion/wp-content/uploads/2026/05/03-back-view-1.png,https://gomall.fashion/wp-content/uploads/2026/05/04-lifestyle-model-waist-down-1.png,https://gomall.fashion/wp-content/uploads/2026/05/05-size-guide.png,Recovered from previous LINE MyShop sync and local database
jeans-winter-flare-dark-2547,กางเกงยีนส์ขาม้าบุขนกันหนาว,ยีนส์เข้ม,1,1008103180,https://oaplus.line.biz/channels/5000725667/e-commerce/product/1008103180,approved,success,false,hidden,2026-05-29 12:31,https://gomall.fashion/wp-content/uploads/2026/05/01-hero-square.png,https://gomall.fashion/wp-content/uploads/2026/05/02-detail-closeup.png,https://gomall.fashion/wp-content/uploads/2026/05/03-back-view.png,https://gomall.fashion/wp-content/uploads/2026/05/04-lifestyle-model-waist-down.png,https://gomall.fashion/wp-content/uploads/2026/05/05-size-guide.png,Recovered from previous LINE MyShop sync and local database
